Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Autivara Solar — Spinning Car Diffuser,autivora-solar-car-diffuser,"<p>A solar-driven rotor turns the moment light reaches the dash, drawing fragrance evenly through the cabin — self-powered, effortless, with no batteries and no cords.</p><ul><li>Solar-driven rotor — no batteries</li><li>Secure fit on any air vent</li><li>Waterless — a few drops of oil, no spills</li><li>Refillable scent core</li></ul>",Autivara,,Car Diffuser,"car, vent-clip, waterless, solar, car-diffusers",FALSE,Draft,AV-SOLAR,,Title,Default Title,,,,,,,,29.00,39.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Autivara Solar | Car Diffuser | Autivara,"A solar-driven rotor turns the moment light reaches the dash, drawing fragrance evenly through the cabin — self-powered, effortless, with no batteries and ",,,,,,,,,,,,,,
Autivara Astronaut — Car Vent Diffuser,autivora-astronaut-car-diffuser,"<p>A finely sculpted astronaut that turns your vents into a signature scent — the design that defined the line, detailed to be displayed.</p><ul><li>Finely sculpted figure, premium detailing</li><li>Secure fit on any air vent</li><li>Waterless refillable scent core</li><li>Multiple considered colorways</li></ul>",Autivara,,Car Diffuser,"car, vent-clip, waterless, novelty, car-diffusers",TRUE,Active,AV-ASTRO,,Title,Default Title,,,,,,,,24.00,34.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-astronaut-car-diffuser/autivora-astronaut-car-diffuser-1.jpg,1,Autivara Astronaut — Car Vent Diffuser,,FALSE,Autivara Astronaut | Car Diffuser | Autivara,"A finely sculpted astronaut that turns your vents into a signature scent — the design that defined the line, detailed to be displayed.",,,,,,,,,,,,,,
,autivora-astronaut-car-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-astronaut-car-diffuser/autivora-astronaut-car-diffuser-2.jpg,2,Autivara Astronaut — Car Vent Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-astronaut-car-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-astronaut-car-diffuser/autivora-astronaut-car-diffuser-3.jpg,3,Autivara Astronaut — Car Vent Diffuser — view 3,,,,,,,,,,,,,,,,,,
,autivora-astronaut-car-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-astronaut-car-diffuser/autivora-astronaut-car-diffuser-4.jpg,4,Autivara Astronaut — Car Vent Diffuser — view 4,,,,,,,,,,,,,,,,,,
Autivara Aviator — Bear Propeller Diffuser,autivora-bear-propeller-diffuser,"<p>A precision pilot bear whose propeller turns on the airflow, carrying scent evenly through the cabin — character and craft in equal measure.</p><ul><li>Airflow-driven propeller</li><li>Soft-touch silicone clip</li><li>Magnetic top for effortless refills</li><li>Waterless refillable core</li></ul>",Autivara,,Car Diffuser,"car, vent-clip, waterless, novelty, car-diffusers",TRUE,Active,AV-AVTR,,Title,Default Title,,,,,,,,24.00,34.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-bear-propeller-diffuser/autivora-bear-propeller-diffuser-1.jpg,1,Autivara Aviator — Bear Propeller Diffuser,,FALSE,Autivara Aviator | Car Diffuser | Autivara,"A precision pilot bear whose propeller turns on the airflow, carrying scent evenly through the cabin — character and craft in equal measure.",,,,,,,,,,,,,,
,autivora-bear-propeller-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-bear-propeller-diffuser/autivora-bear-propeller-diffuser-2.jpg,2,Autivara Aviator — Bear Propeller Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-bear-propeller-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-bear-propeller-diffuser/autivora-bear-propeller-diffuser-3.jpg,3,Autivara Aviator — Bear Propeller Diffuser — view 3,,,,,,,,,,,,,,,,,,
,autivora-bear-propeller-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-bear-propeller-diffuser/autivora-bear-propeller-diffuser-4.jpg,4,Autivara Aviator — Bear Propeller Diffuser — view 4,,,,,,,,,,,,,,,,,,
Autivara Disc — Magnetic Vent Diffuser,autivora-magnetic-vent-diffuser,"<p>Machined from solid metal and closed with a satisfying magnetic snap — a quiet, refined piece engineered for the modern cabin.</p><ul><li>Machined two-piece metal body</li><li>Secure fit on any air vent</li><li>Refillable felt scent pad</li><li>Arrives gift-boxed</li></ul>",Autivara,,Car Diffuser,"car, vent-clip, waterless, gift, car-diffusers",TRUE,Active,AV-DISC,,Title,Default Title,,,,,,,,34.00,49.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-magnetic-vent-diffuser/autivora-magnetic-vent-diffuser-1.jpg,1,Autivara Disc — Magnetic Vent Diffuser,,FALSE,Autivara Disc | Car Diffuser | Autivara,"Machined from solid metal and closed with a satisfying magnetic snap — a quiet, refined piece engineered for the modern cabin.",,,,,,,,,,,,,,
